index,product_display_name,company_slug,category_zh,category,db_slug,pdf_filename,is_hot_selected,pdf_exists,status,resolved_pdf_path
1,AIA Essence On Your Side,aia-hk,健康险,critical_illness,aia-essence-on-your-side,aia-essence-on-your-side.pdf,False,True,matched_exact_catalog_filename,pdfs/aia-essence-on-your-side.pdf
2,AIA GlobalFlexi Savings Insurance Plan,aia-hk,储蓄险,savings,aia-globalflexi-savings,aia-globalflexi-savings.pdf,True,True,matched_exact_catalog_filename,pdfs/aia-globalflexi-savings.pdf
3,AIA On Your Side Insurance Plan 2,aia-hk,健康险,critical_illness,aia-on-your-side-2,aia-on-your-side-2.pdf,True,True,matched_exact_catalog_filename,pdfs/aia-on-your-side-2.pdf
4,AXA Loving Care CI (Enhanced),axa-hk,健康险,critical_illness,axa-loving-care-ci-enhanced,axa-loving-care-ci-enhanced.pdf,True,True,matched_exact_catalog_filename,pdfs/axa-loving-care-ci-enhanced.pdf
5,AXA Wealth Advance Savings II – Ultimate (安進儲蓄系列 II - 躍進),axa-hk,储蓄险,savings,axa-wealth-advance-savings-ii-ultimate,axa-wealth-advance-savings-ii-ultimate.pdf,True,True,matched_exact_catalog_filename,pdfs/axa-wealth-advance-savings-ii-ultimate.pdf
6,太保金生无忧2024（少儿版）重大疾病保险,cpic-life,健康险,critical_illness,cpic-jinshengwuyou-kids,cpic-jinshengwuyou-kids.pdf,False,True,matched_exact_catalog_filename,pdfs/cpic-jinshengwuyou-kids.pdf
7,太保金生无忧2024（少儿版）重大疾病保险,cpic-life,健康险,critical_illness,cpic-jinshengwuyou-2024-kids,cpic-jinshengwuyou-2024-kids.pdf,True,True,matched_exact_catalog_filename,pdfs/cpic-jinshengwuyou-2024-kids.pdf
8,太保鑫相伴（至尊版）终身寿险,cpic-life,储蓄险,savings,cpic-evergreen-whole-life,cpic-evergreen-whole-life.pdf,False,True,matched_exact_catalog_filename,pdfs/cpic-evergreen-whole-life.pdf
9,太保长相伴（至尊2024S）终身寿险（分红型）,cpic-life,储蓄险,savings,cpic-xiangbanzhizun-2024s,cpic-xiangbanzhizun-2024s.pdf,True,True,matched_exact_catalog_filename,pdfs/cpic-xiangbanzhizun-2024s.pdf
10,太保附加稳赢金生重大疾病保险,cpic-life,健康险,critical_illness,cpic-wenyingjinsheng-ci,cpic-wenyingjinsheng-ci.pdf,False,True,matched_exact_catalog_filename,pdfs/cpic-wenyingjinsheng-ci.pdf
