file,product_id,product_name,company_slug,is_selected,before_ratio_count,after_ratio_count,updated_count,updated_fields,cancer_claim_additional_percent,cancer_claim_max_percent,child_growth_payout_percent,child_illness_payout_percent,critical_child_extra_percent,death_benefit_first_10_year_percent,death_benefit_percent,death_benefit_premium_percent,death_total_max_percent,dementia_annuity_annual_percent,early_risk_payout_percent,early_stage_payout_percent,early_stage_special_payout_percent,early_stage_sports_bonus_percent,education_special_support_percent,extended_major_medical_care_percent,extra_benefit_percent,extra_three_disease_benefit_percent,family_extra_death_benefit_percent,heart_stroke_cash_monthly_percent,heart_stroke_claim_additional_percent,heart_stroke_claim_max_percent,icu_benefit_level1_percent,icu_benefit_level2_percent,icu_benefit_overseas_percent,icu_benefit_percent,immediate_cancer_cash_monthly_percent,immediate_cancer_cash_total_percent,infertility_treatment_percent,life_extension_benefit_percent,major_extra_after_early_max_percent,major_illness_payout_percent,major_medical_care_percent,max_total_claim_percent,moderate_illness_payout_percent,multiple_claim_first_two_percent,multiple_claim_later_percent,multiple_claim_per_claim_percent,multiple_claim_total_extra_percent,neurodegenerative_annuity_annual_percent,overseas_cancer_treatment_daily_percent,parent_child_guard_percent,persistent_cancer_cash_annual_percent,persistent_cancer_cash_annual_upgraded_percent,persistent_cancer_cash_monthly_percent,premium_waiver_claim_threshold_percent,severe_child_illness_payout_percent,specified_cancer_extra_percent,stroke_rehab_cash_monthly_percent,terminal_cancer_treatment_cap_percent,three_disease_extra_medical_cap_percent,triple_ci_guard_payout_percent,upgrade_benefit_older_percent,upgrade_benefit_percent
data/vectors-v2.11/aia-hk/aia-essence-on-your-side.vector.json,aia-essence-on-your-side,友邦守护在您身边医疗保险,aia-hk,False,6,8,8,death_benefit_percent|death_total_max_percent|early_stage_payout_percent|heart_stroke_claim_max_percent|major_illness_payout_percent|max_total_claim_percent|triple_ci_guard_payout_percent|upgrade_benefit_percent,,,,,,,100,,140,,,50,,,,,,,,,,280,,,,,,,,,,100,,280,,,,,,,,,,,,,,,,,,100,,40
data/vectors-v2.11/aia-hk/aia-on-your-side-2.vector.json,aia-on-your-side-2,友邦爱伴航保险计划2,aia-hk,False,15,17,16,cancer_claim_max_percent|child_growth_payout_percent|child_illness_payout_percent|death_benefit_percent|early_stage_payout_percent|heart_stroke_claim_max_percent|icu_benefit_level1_percent|icu_benefit_level2_percent|icu_benefit_overseas_percent|major_illness_payout_percent|max_total_claim_percent|multiple_claim_per_claim_percent|neurodegenerative_annuity_annual_percent|persistent_cancer_cash_monthly_percent|severe_child_illness_payout_percent|upgrade_benefit_percent,,600,5,100,,,100,,,,,20,,,,,,,,,,300,20,100,10,100,,,,,,100,,1100,,,,100,,6,,,,,5,,20,,,,,,,50
data/vectors-v2.11/axa-hk/axa-loving-care-ci-enhanced.vector.json,axa-loving-care-ci-enhanced,安盛爱唯守危疾保障升级版,axa-hk,False,0,16,16,cancer_claim_max_percent|death_benefit_percent|dementia_annuity_annual_percent|early_risk_payout_percent|early_stage_payout_percent|icu_benefit_overseas_percent|icu_benefit_percent|immediate_cancer_cash_monthly_percent|immediate_cancer_cash_total_percent|major_illness_payout_percent|max_total_claim_percent|multiple_claim_per_claim_percent|persistent_cancer_cash_monthly_percent|premium_waiver_claim_threshold_percent|stroke_rehab_cash_monthly_percent|upgrade_benefit_percent,,600,,,,,100,,,12,5,20,,,,,,,,,,,,,10,20,5,55,,,,100,,1300,,,,100,,,,,,,5,100,,,5,,,,,50
data/vectors-v2.11/cpic-life/cpic-jinshengwuyou-2024-kids.vector.json,cpic-jinshengwuyou-2024-kids,太保金生无忧2024少儿版重大疾病保险,cpic-life,False,2,3,3,death_benefit_percent|early_stage_payout_percent|major_illness_payout_percent,,,,,,,100,,,,,30,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
data/vectors-v2.11/cpic-life/cpic-jinshengwuyou-kids.vector.json,cpic-jinshengwuyou-kids,太保金生无忧2024少儿版重大疾病保险,cpic-life,False,2,3,3,death_benefit_percent|early_stage_payout_percent|major_illness_payout_percent,,,,,,,100,,,,,30,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
data/vectors-v2.11/cpic-life/cpic-wenyingjinsheng-ci.vector.json,cpic-wenyingjinsheng-ci,太保附加稳赢金生重大疾病保险,cpic-life,False,0,3,3,death_benefit_percent|death_benefit_premium_percent|major_illness_payout_percent,,,,,,,150,150,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
data/vectors-v2.11/fwd-hk/fwd-crisis-one-master.vector.json,fwd-crisis-one-master,富卫危疾一保,fwd-hk,False,6,9,9,cancer_claim_max_percent|child_illness_payout_percent|death_benefit_percent|extra_benefit_percent|heart_stroke_claim_max_percent|major_illness_payout_percent|major_medical_care_percent|max_total_claim_percent|specified_cancer_extra_percent,,650,,100,,,100,,,,,,,,,,90,,,,,650,,,,,,,,,,100,20,1300,,,,,,,,,,,,,,25,,,,,,
data/vectors-v2.11/fwd-hk/fwd-crisis-u-supporter.vector.json,fwd-crisis-u-supporter,富卫危疾应援保,fwd-hk,False,0,20,19,death_benefit_percent|early_stage_payout_percent|extended_major_medical_care_percent|heart_stroke_cash_monthly_percent|heart_stroke_claim_max_percent|icu_benefit_level1_percent|icu_benefit_level2_percent|infertility_treatment_percent|major_illness_payout_percent|major_medical_care_percent|max_total_claim_percent|multiple_claim_first_two_percent|multiple_claim_later_percent|multiple_claim_total_extra_percent|parent_child_guard_percent|persistent_cancer_cash_annual_percent|persistent_cancer_cash_annual_upgraded_percent|upgrade_benefit_older_percent|upgrade_benefit_percent,,,,,,,155,,,,,20,,,,50,,,,1,,990,50,100,,100,,,10,,,100,20,1090,,120,150,,990,,,20,5,10,,,,,,,,,60,75
data/vectors-v2.11/fwd-hk/fwd-easycover-ci.vector.json,fwd-easycover-ci,富卫简易保危疾计划,fwd-hk,False,0,7,7,death_benefit_percent|early_stage_payout_percent|extra_three_disease_benefit_percent|heart_stroke_claim_max_percent|major_illness_payout_percent|major_medical_care_percent|three_disease_extra_medical_cap_percent,,,,,,,100,,,,,35,,,,,,50,,,,100,,,,,,,,,,100,20,,,,,,,,,,,,,,,,,,100,,,
data/vectors-v2.11/manulife-hk/manulife-bright-care-pro.vector.json,manulife-bright-care-pro,宏利活耀人生危疾保 Pro,manulife-hk,False,0,14,13,cancer_claim_max_percent|child_illness_payout_percent|death_benefit_percent|early_stage_payout_percent|heart_stroke_claim_max_percent|icu_benefit_level1_percent|icu_benefit_level2_percent|major_illness_payout_percent|max_total_claim_percent|multiple_claim_per_claim_percent|overseas_cancer_treatment_daily_percent|terminal_cancer_treatment_cap_percent|upgrade_benefit_percent,,300,,20,,,100,,,,,20,,,,,,,,,,300,20,100,,100,,,,,,100,,500,,,,100,,,5,,,,,,,,,20,,,,50
