product_id,product_name,ratio_fields,core_filled,status
aia-essence-on-your-side,友邦守护在您身边医疗保险,8,major_illness_payout_percent|early_stage_payout_percent|heart_stroke_claim_max_percent|max_total_claim_percent|death_benefit_percent,extracted
aia-on-your-side-2,友邦爱伴航保险计划2,17,major_illness_payout_percent|early_stage_payout_percent|child_illness_payout_percent|icu_benefit_percent|multiple_claim_per_claim_percent|cancer_claim_max_percent|heart_stroke_claim_max_percent|max_total_claim_percent|death_benefit_percent,extracted
axa-loving-care-ci-enhanced,安盛爱唯守危疾保障升级版,16,major_illness_payout_percent|early_stage_payout_percent|icu_benefit_percent|multiple_claim_per_claim_percent|cancer_claim_max_percent|max_total_claim_percent|death_benefit_percent,extracted
cpic-jinshengwuyou-2024-kids,太保金生无忧2024少儿版重大疾病保险,3,major_illness_payout_percent|early_stage_payout_percent|death_benefit_percent,extracted
cpic-jinshengwuyou-kids,太保金生无忧2024少儿版重大疾病保险,3,major_illness_payout_percent|early_stage_payout_percent|death_benefit_percent,extracted
cpic-wenyingjinsheng-ci,太保附加稳赢金生重大疾病保险,3,major_illness_payout_percent|death_benefit_percent,extracted
fwd-crisis-one-master,富卫危疾一保,9,major_illness_payout_percent|child_illness_payout_percent|cancer_claim_max_percent|heart_stroke_claim_max_percent|max_total_claim_percent|death_benefit_percent,extracted
fwd-crisis-u-supporter,富卫危疾应援保,20,major_illness_payout_percent|early_stage_payout_percent|icu_benefit_percent|multiple_claim_first_two_percent|heart_stroke_claim_max_percent|max_total_claim_percent|death_benefit_percent,extracted
fwd-easycover-ci,富卫简易保危疾计划,7,major_illness_payout_percent|early_stage_payout_percent|heart_stroke_claim_max_percent|death_benefit_percent,extracted
manulife-bright-care-pro,宏利活耀人生危疾保 Pro,14,major_illness_payout_percent|early_stage_payout_percent|child_illness_payout_percent|icu_benefit_percent|multiple_claim_per_claim_percent|cancer_claim_max_percent|heart_stroke_claim_max_percent|max_total_claim_percent|death_benefit_percent,extracted
manulife-incomeguard-ci,宏利荟健危疾保,11,major_illness_payout_percent|early_stage_payout_percent|child_illness_payout_percent|multiple_claim_per_claim_percent|cancer_claim_max_percent|heart_stroke_claim_max_percent|max_total_claim_percent|death_benefit_percent,extracted
manulife-incomeshield-ci,宏利护健危疾保,9,major_illness_payout_percent|early_stage_payout_percent|multiple_claim_per_claim_percent|cancer_claim_max_percent|heart_stroke_claim_max_percent|max_total_claim_percent|death_benefit_percent,extracted
pingan-fuli-20-ci,平安福20重大疾病保险,5,major_illness_payout_percent|early_stage_payout_percent|death_benefit_percent,extracted
pingan-ruyi-quanneng-2025-ci,平安附加如意全能2025提前给付重大疾病保险,3,major_illness_payout_percent|early_stage_payout_percent|moderate_illness_payout_percent,extracted
pingan-ruyi-quanneng-ci,平安附加如意全能提前给付重大疾病保险,3,major_illness_payout_percent|early_stage_payout_percent|moderate_illness_payout_percent,extracted
pru-ci-extended-care-iii,保诚危疾加护保 III,12,major_illness_payout_percent|early_stage_payout_percent|icu_benefit_percent|multiple_claim_per_claim_percent|cancer_claim_max_percent|heart_stroke_claim_max_percent|max_total_claim_percent|death_benefit_percent,extracted
pru-guardian-ci-series,保诚诚保一生危疾保,15,major_illness_payout_percent|early_stage_payout_percent|child_illness_payout_percent|icu_benefit_percent|multiple_claim_per_claim_percent|cancer_claim_max_percent|heart_stroke_claim_max_percent|max_total_claim_percent|death_benefit_percent,extracted
taikang-lexiangjiankang-2026,泰康乐享健康2026重大疾病保险,2,major_illness_payout_percent|death_benefit_percent,extracted
taikang-lexiangjiankang-kids,泰康乐享健康少儿B款重大疾病保险,6,major_illness_payout_percent|early_stage_payout_percent|moderate_illness_payout_percent|multiple_claim_per_claim_percent|max_total_claim_percent,extracted
