product_id,company_slug,is_selected,candidates_before,candidates_after,fields_repaired,remaining_paths,repaired_paths
aia-essence-on-your-side,aia-hk,False,4,2,11,product_features[0].evidence_quote | source_trace.field_evidence.compare_profile.has_policy_loan.quote,base.entry_age | compare_profile.entry_age_summary | product_features[0].evidence_quote | product_features[1].evidence_quote | product_features[2].evidence_quote | product_features[3].evidence_quote | product_features[4].evidence_quote | source_trace.field_evidence.compare_profile.has_cancer_multiple_claims.quote | source_trace.field_evidence.compare_profile.has_guaranteed_cash_value.quote | source_trace.field_evidence.compare_profile.has_non_guaranteed_bonus.quote | source_trace.field_evidence.compare_profile.has_policy_loan.quote
aia-globalflexi-savings,aia-hk,False,10,0,18,,base.entry_age | compare_profile.entry_age_summary | product_features[0].evidence_quote | product_features[1].evidence_quote | product_features[2].evidence_quote | product_features[3].evidence_quote | product_features[5].evidence_quote | product_features[6].evidence_quote | product_features[8].evidence_quote | product_features[9].evidence_quote | product_features[10].evidence_quote | product_features[11].evidence_quote | product_features[12].evidence_quote | product_features[14].evidence_quote | source_trace.field_evidence.compare_profile.has_guaranteed_cash_value.quote | source_trace.field_evidence.compare_profile.has_non_guaranteed_bonus.quote | source_trace.field_evidence.compare_profile.supports_policy_split.quote | source_trace.field_evidence.compare_profile.supports_change_insured.quote
aia-on-your-side-2,aia-hk,False,6,4,13,product_features[1].evidence_quote | product_features[3].evidence_quote | product_features[9].evidence_quote | source_trace.field_evidence.compare_profile.has_icu_benefit.quote,base.entry_age | compare_profile.entry_age_summary | product_features[0].evidence_quote | product_features[2].evidence_quote | product_features[3].evidence_quote | product_features[5].evidence_quote | product_features[6].evidence_quote | source_trace.field_evidence.compare_profile.has_multiple_claims.quote | source_trace.field_evidence.compare_profile.has_cancer_multiple_claims.quote | source_trace.field_evidence.compare_profile.has_icu_benefit.quote | source_trace.field_evidence.compare_profile.has_guaranteed_cash_value.quote | source_trace.field_evidence.compare_profile.has_non_guaranteed_bonus.quote | source_trace.field_evidence.compare_profile.has_policy_loan.quote
axa-loving-care-ci-enhanced,axa-hk,False,4,4,7,product_features[2].evidence_quote | source_trace.field_evidence.compare_profile.has_icu_benefit.quote | source_trace.field_evidence.compare_profile.has_guaranteed_cash_value.quote | source_trace.field_evidence.compare_profile.has_non_guaranteed_bonus.quote,base.entry_age | compare_profile.entry_age_summary | product_features[0].evidence_quote | product_features[1].evidence_quote | product_features[4].evidence_quote | product_features[6].evidence_quote | source_trace.field_evidence.compare_profile.has_cancer_multiple_claims.quote
axa-wealth-advance-savings-ii-ultimate,axa-hk,False,2,0,10,,base.entry_age | compare_profile.entry_age_summary | product_features[0].evidence_quote | product_features[2].evidence_quote | product_features[3].evidence_quote | product_features[4].evidence_quote | product_features[6].evidence_quote | source_trace.field_evidence.compare_profile.has_non_guaranteed_bonus.quote | source_trace.field_evidence.compare_profile.has_policy_loan.quote | source_trace.field_evidence.compare_profile.supports_policy_split.quote
cpic-evergreen-whole-life,cpic-life,False,2,2,2,product_features[0].evidence_quote | source_trace.field_evidence.compare_profile.has_policy_loan.quote,base.entry_age | compare_profile.entry_age_summary
cpic-jinshengwuyou-2024-kids,cpic-life,False,2,0,3,,base.entry_age | compare_profile.entry_age_summary | compare_profile.premium_terms
cpic-jinshengwuyou-kids,cpic-life,False,2,0,3,,base.entry_age | compare_profile.entry_age_summary | compare_profile.premium_terms
cpic-wenyingjinsheng-ci,cpic-life,False,2,0,3,,base.entry_age | compare_profile.entry_age_summary | compare_profile.premium_terms
cpic-xiangbanzhizun-2024s,cpic-life,False,2,0,5,,base.entry_age | compare_profile.entry_age_summary | compare_profile.premium_terms | product_features[0].evidence_quote | source_trace.field_evidence.compare_profile.has_non_guaranteed_bonus.quote
