db_slug,company_slug,category,is_hot_selected,pdf_pages,text_length,has_product_name,has_product_name_en,has_currencies,has_premium_terms,has_entry_age,has_gcv,has_bonus,has_illness_total,has_major_count,has_early_count,has_irr,has_return_multiple,feature_count,missing_fields
aia-essence-on-your-side,aia-hk,critical_illness,False,13,21402,True,True,True,True,True,True,True,True,True,True,False,True,5,
aia-globalflexi-savings,aia-hk,savings,True,23,40831,True,True,True,True,True,True,True,False,False,False,False,True,16,
aia-on-your-side-2,aia-hk,critical_illness,True,21,39859,True,True,True,True,True,True,True,True,True,True,False,True,11,
axa-loving-care-ci-enhanced,axa-hk,critical_illness,True,46,38342,True,True,True,True,True,True,True,True,True,True,False,False,8,
axa-wealth-advance-savings-ii-ultimate,axa-hk,savings,True,30,24739,True,True,True,True,False,True,True,False,False,False,False,False,7,entry_age
cpic-jinshengwuyou-kids,cpic-life,critical_illness,False,6,6423,True,False,True,True,True,True,,True,True,False,False,False,2,
cpic-jinshengwuyou-2024-kids,cpic-life,critical_illness,True,6,6423,True,False,True,True,True,True,,True,True,False,False,False,2,
cpic-evergreen-whole-life,cpic-life,savings,False,10,11454,True,False,True,True,True,True,,False,False,False,False,False,1,
cpic-xiangbanzhizun-2024s,cpic-life,savings,True,17,22998,True,False,True,True,True,True,True,False,False,False,False,False,3,
cpic-wenyingjinsheng-ci,cpic-life,critical_illness,False,6,5234,True,False,True,True,True,True,,True,True,False,False,False,0,
fwd-crisis-one-master,fwd-hk,critical_illness,False,23,32927,True,True,True,True,True,True,True,True,True,False,False,True,8,
fwd-crisis-u-supporter,fwd-hk,critical_illness,True,32,28306,True,True,True,True,True,True,True,True,True,False,False,False,9,
fwd-easycover-ci,fwd-hk,critical_illness,False,24,16785,True,True,True,True,True,,True,True,True,False,False,False,6,
fwd-maxfocus-legacy-ii,fwd-hk,savings,True,23,32781,True,True,True,True,True,True,True,False,False,False,True,True,7,
fwd-noble-fortune,fwd-hk,savings,False,24,34686,True,True,True,False,False,,True,False,False,False,False,False,2,premium_terms;entry_age
fwd-wealthicon-horizon,fwd-hk,savings,False,17,21480,True,True,True,True,True,True,True,False,False,False,False,True,6,
fwd-wealthicon-supreme-iii,fwd-hk,savings,False,20,13779,True,True,True,True,True,True,True,False,False,False,False,False,3,
manulife-genesis-centurion,manulife-hk,savings,True,28,26201,True,True,True,True,False,True,True,False,False,False,True,True,11,entry_age
manulife-manucentury,manulife-hk,savings,False,28,26201,True,True,True,True,False,True,True,False,False,False,True,True,11,entry_age
manulife-bright-care-pro,manulife-hk,critical_illness,True,24,24985,True,True,True,True,True,True,True,True,True,True,False,False,8,
manulife-incomeguard-ci,manulife-hk,critical_illness,True,24,26096,True,True,True,True,True,True,True,True,True,True,False,True,9,
manulife-incomeshield-ci,manulife-hk,critical_illness,False,24,21828,True,True,True,True,True,True,True,True,True,True,False,True,6,
manulife-prestige-achiever,manulife-hk,savings,False,25,17073,True,True,True,True,True,True,True,False,False,False,True,True,10,
new-china-life-rongyao-shijia,new-china-life,savings,True,5,6282,True,True,True,True,True,True,True,False,False,False,False,False,1,
new-china-life-rongyao-xinxiang,new-china-life,savings,True,3,4135,True,True,True,True,True,True,,False,False,False,False,False,1,
pingan-yuxiang-jinyue-2025,ping-an,savings,True,9,6305,True,False,True,False,True,True,True,False,False,False,False,False,1,premium_terms
pingan-shengshi-jinyue-zunxiang-26II,ping-an,savings,True,10,7350,True,False,True,False,True,True,True,False,False,False,False,False,1,premium_terms
ping-an-shengshi-jinyue-premium,ping-an,savings,False,6,3787,True,False,True,False,True,True,,False,False,False,False,False,1,premium_terms
pingan-fuli-20-ci,ping-an,critical_illness,True,36,42978,True,False,True,True,True,True,,True,True,False,False,True,3,
pingan-ruyi-quanneng-ci,ping-an,critical_illness,False,7,4916,True,False,True,False,True,True,,True,True,False,False,False,1,premium_terms
pingan-ruyi-quanneng-2025-ci,ping-an,critical_illness,True,7,4916,True,False,True,False,True,True,,True,True,False,False,False,1,premium_terms
prudential-evergreen-growth,prudential-hk,savings,False,16,42064,True,True,True,False,False,True,True,False,False,False,False,False,4,premium_terms;entry_age
prudential-prime-ace,prudential-hk,savings,False,46,106889,True,True,True,True,False,True,True,False,False,False,True,False,7,entry_age
prudential-prime-eternity,prudential-hk,savings,True,32,72432,True,True,True,False,False,True,True,False,False,False,True,False,8,premium_terms;entry_age
pru-ci-extended-care-iii,prudential-hk,critical_illness,False,30,25033,True,True,True,True,True,True,True,True,True,True,False,False,8,
prudential-enlit-savings,prudential-hk,savings,False,40,107831,True,True,True,False,False,True,True,False,False,False,False,False,6,premium_terms;entry_age
pru-entrust-multi-currency,prudential-hk,savings,True,36,37406,True,True,True,True,True,True,True,False,False,False,False,True,12,
pru-guardian-ci-series,prudential-hk,critical_illness,True,35,24208,True,True,True,True,True,True,True,True,True,True,False,True,11,
taikang-lexiangjiankang-2026,taikang-life,critical_illness,True,5,5925,True,False,True,True,True,True,,True,True,False,False,False,0,
taikang-lexiangjiankang-kids,taikang-life,critical_illness,False,6,8713,True,False,True,True,True,True,,True,True,False,False,False,1,
taikang-zengduoduo,taikang-life,savings,False,8,6931,True,False,True,False,False,True,,False,False,False,False,False,1,premium_terms;entry_age
taikang-zunxiang-shijia-zeng-e,taikang-life,savings,False,8,11016,True,False,True,True,True,True,,False,False,False,False,True,2,
taikang-zunxiang-shijia-flagship,taikang-life,savings,False,7,8778,True,False,True,True,True,True,,False,False,False,False,True,1,
taikang-xinxingshijia-2026-zunxiangban-b,taikang-life,savings,True,7,8986,True,True,True,True,True,True,True,False,False,False,False,True,1,
taikang-xinxingshijia-2026-qingdianban,taikang-life,savings,True,11,17543,True,False,True,True,True,True,True,False,False,False,False,True,2,
